Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
480000,2016-12-08,2,3,1,0.4609756097560976,1,24596,-33.73806,150.80064,0.491187270501836,1481155200.0,5,0.28207073246801007
2725000,2016-12-09,4,5,2,0.4308943089430894,1,37336,-33.99452,151.13524,0.1911872705018359,1481241600.0,9,0.35590917313601356
2610000,2016-12-09,3,5,2,0.5365853658536586,1,48828,-33.83054,151.14729,0.0813953488372093,1481241600.0,8,0.4946400452836128
1700000,2016-12-09,2,3,2,0.6617886178861788,1,47788,-33.76741,151.18832,0.1312117503059975,1481241600.0,5,0.5804098235285203
600000,2016-12-09,1,3,1,0.191869918699187,1,29640,-33.90761,150.98902,0.2529987760097918,1481241600.0,4,0.14898101170923844
565000,2016-12-09,2,3,1,0.4560975609756098,1,33384,-33.37876,151.34724,0.6747858017135863,1481241600.0,5,0.2322747491193059
960000,2016-12-10,3,6,2,0.5276422764227642,1,30316,-33.38486,151.47128,0.7127294981640148,1481328000.0,9,0.2587051636941596
655000,2016-12-10,1,3,2,0.5170731707317073,1,30316,-33.38486,151.47128,0.7127294981640148,1481328000.0,4,0.2535230879961256
545000,2016-12-10,1,2,1,0.4861788617886179,1,30316,-33.38486,151.47128,0.7127294981640148,1481328000.0,3,0.23837548210956463
489000,2016-12-10,1,3,2,0.5333333333333333,1,30316,-33.38486,151.47128,0.7127294981640148,1481328000.0,4,0.2614955121469471
462500,2016-12-10,1,4,1,0.4869918699186992,1,24596,-33.73806,150.80064,0.491187270501836,1481328000.0,5,0.29799006833922054
2370000,2016-12-11,2,5,1,0.1934959349593495,1,53872,-33.90021,151.16983,0.0620563035495716,1481414400.0,7,0.18185327865859346
1880000,2016-12-11,2,4,1,0.6463414634146342,1,38428,-33.75738,151.18183,0.1460220318237454,1481414400.0,6,0.5585286489570843
1550000,2016-12-11,2,3,2,0.8211382113821138,1,49920,-33.73444,151.12793,0.1965728274173806,1481414400.0,5,0.6745991165484989
1100000,2016-12-11,2,5,2,0.4609756097560976,1,34996,-33.79196,150.9468,0.3105263157894737,1481414400.0,7,0.33792325671162043
965000,2016-12-11,1,3,3,0.5333333333333333,1,41756,-34.05778,151.01793,0.3362301101591187,1481414400.0,4,0.3810446307722179
1490000,2016-12-12,2,4,2,0.6357723577235772,1,47424,-33.72353,151.11725,0.2154222766217869,1481500800.0,6,0.5125602651004224
1015000,2016-12-12,1,4,1,0.5463414634146342,1,22672,-33.8989,151.05729,0.1751529987760097,1481500800.0,5,0.45856001271266217
735000,2016-12-12,2,4,2,0.5333333333333333,1,43420,-33.7437,150.9059,0.3783353733170134,1481500800.0,6,0.36533372329140035
580000,2016-12-12,1,3,2,0.1674796747967479,1,37544,-33.81244,150.90067,0.3538555691554467,1481500800.0,4,0.11756677032241032
2650000,2016-12-13,5,5,3,0.8617886178861789,1,47424,-33.72353,151.11725,0.2154222766217869,1481587200.0,10,0.6947747838957132
1135000,2016-12-14,1,2,0,0.1056910569105691,1,53872,-33.90021,151.16983,0.0620563035495716,1481673600.0,3,0.09933162279671076
907500,2016-12-14,1,2,1,0.2227642276422764,1,43160,-33.72225,151.08107,0.2391676866585067,1481673600.0,3,0.1753784570125002
825000,2016-12-15,1,3,1,0.424390243902439,1,36244,-33.94109,150.98349,0.2725826193390452,1481760000.0,4,0.3231351960136915
2019000,2016-12-16,2,4,2,0.9544715447154472,1,32240,-33.74515,150.68955,0.6082007343941249,1481846400.0,6,0.5195469057309605
930000,2016-12-16,2,6,3,0.4195121951219512,1,36244,-33.94109,150.98349,0.2725826193390452,1481846400.0,8,0.31942099835836174
2620000,2016-12-17,3,4,3,0.532520325203252,1,39104,-33.8435,151.092,0.133047735618115,1481932800.0,7,0.46618070159876474
2556000,2016-12-17,3,5,2,0.491869918699187,1,30576,-33.93971,151.09956,0.1571603427172582,1481932800.0,8,0.4203358127324845
2005000,2016-12-17,2,4,2,0.4390243902439024,1,36660,-33.89656,151.0793,0.1501835985312117,1481932800.0,6,0.3778024241899534
1142000,2016-12-17,1,2,0,0.0292682926829268,1,51532,-33.89313,151.20653,0.034516523867809,1481932800.0,3,0.02827528906250817
1100000,2016-12-19,3,5,2,0.4813008130081301,1,48880,-33.97576,150.99327,0.2838433292533659,1482105600.0,8,0.3623639654885103
950000,2016-12-19,1,2,2,0.6471544715447154,1,22672,-33.8989,151.05729,0.1751529987760097,1482105600.0,3,0.5431752531536891
850000,2016-12-19,1,3,2,0.491869918699187,1,37544,-33.81244,150.90067,0.3538555691554467,1482105600.0,4,0.3452810487624188
1440000,2016-12-20,3,5,2,0.5691056910569106,1,43160,-33.72225,151.08107,0.2391676866585067,1482192000.0,8,0.4480471529516429
615000,2016-12-20,2,3,1,0.4227642276422764,1,40716,-33.74507,150.61818,0.6865361077111384,1482192000.0,5,0.2127842059344127
2025000,2016-12-21,3,8,8,0.7894308943089431,1,26208,-33.91942,151.08774,0.1529987760097919,1482278400.0,11,0.6774349428958825
1820000,2016-12-21,2,4,2,0.4203252032520325,1,42172,-34.05314,151.1205,0.2708690330477356,1482278400.0,6,0.3205889176589821
1750000,2016-12-21,2,5,2,0.491869918699187,1,42380,-34.03534,151.12423,0.2468788249694002,1482278400.0,7,0.38426617006376995
1205000,2016-12-21,1,4,1,0.6341463414634146,1,43160,-33.72225,151.08107,0.2391676866585067,1482278400.0,5,0.4992525418604021
930000,2016-12-21,1,3,1,0.4536585365853658,1,34268,-33.96119,150.98818,0.2791921664626682,1482278400.0,4,0.3431448380950296
