Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
619000,26/2/16,2,2,1,0.10650406504065041,House,-33.95493,150.99524,0.26817625458996325
450000,26/2/16,1,3,4,0.44552845528455287,House,-33.32678,151.44557,0.7746634026927786
1800000,27/2/16,2,3,1,0.25040650406504067,House,-33.88143,151.15595,0.0613219094247246
1550000,27/2/16,1,3,2,0.748780487804878,House,-33.69054,151.15407,0.24173806609547122
1465000,27/2/16,2,4,1,0.6609756097560976,House,-33.75342,151.06372,0.22093023255813954
1280000,27/2/16,1,2,1,0.2138211382113821,House,-33.86584,151.14375,0.07123623011015912
1160000,27/2/16,1,3,0,0.11869918699186992,House,-33.88143,151.15595,0.0613219094247246
1085000,27/2/16,1,2,1,0.13739837398373983,House,-33.88143,151.15595,0.0613219094247246
1000000,27/2/16,2,6,3,0.6357723577235772,House,-33.8105,151.06162,0.17992656058751527
925000,27/2/16,1,2,0,0.08048780487804878,House,-33.88143,151.15595,0.0613219094247246
820000,27/2/16,1,3,2,0.44552845528455287,House,-33.97042,151.03352,0.24186046511627904
761000,27/2/16,2,3,1,0.41544715447154473,House,-33.97042,151.03352,0.24186046511627904
3100000,29/2/16,3,4,5,0.8926829268292683,House,-33.62899,151.32686,0.3433292533659731
1650000,29/2/16,1,2,1,0.3991869918699187,House,-33.85608,151.10677,0.11383108935128518
1543000,29/2/16,1,3,1,0.3016260162601626,House,-33.85841,151.14202,0.07380660954712362
1255000,29/2/16,2,4,8,0.6764227642276422,House,-33.50518,151.33518,0.5052631578947369
1100000,29/2/16,1,2,1,0.05853658536585366,House,-33.9082,151.19191,0.05826193390452876
755000,29/2/16,1,1,1,0.015447154471544716,Apartment,-33.90769,151.2083,0.05410036719706242
500000,29/2/16,1,3,0,0.5333333333333333,House,-33.36629,151.4607,0.7310893512851897
478000,13/3/16,2,4,2,0.4195121951219512,House,-33.36629,151.4607,0.7310893512851897
700000,14/3/16,2,3,1,0.7642276422764228,House,-33.49756,151.40816,0.5436964504283965
540000,14/3/16,2,3,3,0.39186991869918697,House,-33.32678,151.44557,0.7746634026927786
950000,16/3/16,1,3,2,0.44552845528455287,House,-34.00258,151.0648,0.24492044063647486
785000,16/3/16,1,3,2,0.35853658536585364,House,-33.82647,151.03151,0.20514075887392896
